Estrellas,Opinion,Id,Titulo
5.0 de 5 estrellas,"It's one of those books that make you desperate, make you angry, force you to hate some characters and you keep waiting for something to happen that helps you understand what the hell is happening and why it is happening that way. I am not an expert. In books, I can only tell you from my opinion: buy it! It will help you pass the time and without a doubt you will want to finish it just to see the end and discover all the chaos that is forming. There are things that you will surely intuit from the beginning, but there will be others that I assure you, will surprise you.",Miguel Avila,"
Y yo a ti más
"
5.0 de 5 estrellas,It is true that history gives several unexpected turns of direction. Excellent reading that makes it very easy to devour the book.,Miguel Inguanzo,"
Y yo a ti más
"
5.0 de 5 estrellas,"It is not the style of novels or books that I usually read but when I had to read it on the recommendation of my book club, it was very easy to follow it and it caught me to the degree of care to finish it quickly ...",alida,"
Y yo a ti más
"
4.0 de 5 estrellas,"The article is very good only that they do not send it with protective paper, which caused the paste to bend a little on the edge",Eduardo Rangel,"
Rascal Does Not Dream of Bunny Girl Senpai (Light Novel)
"
5.0 de 5 estrellas,"I love him, in general all very well",Cesar Rincon,"
Rascal Does Not Dream of Bunny Girl Senpai (Light Novel)
"
2.0 de 5 estrellas,I have 60% but it is a book full of clichés and little phrases of improvement that you find on the internet that are putting together a typical story of an improvement book where ordinary people find a mentor who solves their life ... I will wait to finish it with my mind open and maybe my rating will change.,Earnest,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,"I'm not a big reader of motivational and self-help books, but this book far exceeded my expectations. It is too good, and it helps you a lot to unleash the potential that you carry within. As for delivery, it arrived in a timely manner, except for one detail and that is that the book arrived damaged from a corner, I don't know if it's a parcel thing. But that did bother me.",Mariela Garcia,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,"In a simple and clear way, the author of this book shows us a routine that can change our life. It is not the simple fact of waking up at 5:00 am, but also a series of tools and resources that once we learn to use them can help us reach our maximum potential.",Rodrigo ,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
1.0 de 5 estrellas,"One of the worst books I have read if not the worst. To begin with, the author does it in the format of a novel, putting an enlightened person talking full of flattery about how to unleash our potential in the purest style of a generic motivator or a deceitful religious leader. Among what I have read I have found many valuable phrases but also too much straw, starting with the narrative style, I am not lying, the style can be liked by someone, I know that these books have their audience but in the most objective way that I can tell them , do not waste your time with these types of books, they are not worth it.",José Abraham,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,"Excellent book, a very good story to get the concepts down, I can proudly say that now I belong to the 5am club and have started exercising, meditating and reading, read it and apply it, I will give this book a second turn, but now in audio to optimize time.",Victor Eloir,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,"I love it, very well structured, it takes me from an abstract idea to landing it in actions applicable to my daily life, I go on the 13th day of applying the book, I am very happy and my days are much more productive, I enjoy everything, the book It is very easy to read and it keeps you interested always, it is changing my life for the better",Ivonne,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,I made it clear. Buy it if you want to level up. If you really want to transform your life and you want to leave a legacy that impacts the lives of others. People notice the change that this book has helped me develop in myself.,Pedro García Santos,"
El club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida
"
5.0 de 5 estrellas,"This book offers a very uplifting insight from Clive Staples Lewis on the nature of pain and suffering for believers. If you suffer tribulation or anguish, you will be edified with this work and you will be able to see that God is glorified even in the suffering that you suffer. As a chronic and incurable disease patient from my youth, this work also reminds me of the comfort, joy, and peace we have in Christ. I am very pleased with my purchase and highly recommend it.",JUAN A AGUILAR R,"
El problema del dolor
"
5.0 de 5 estrellas,"It is a book that helps you bring peace to the soul. As I progressed through this reading I couldn't stop thinking ""wow, I hadn't seen him like that, he's very right."" C.S. Lewis, as always, brings complex issues to light and treats them with such tact and responsibility. I would certainly read it a thousand more times. I recommend reading it carefully, because if you read something at the wrong pace, you could miss something important that the author mentions and you could have a bad vision of what he means, misinterpreting everything. About the enterga, first I got a version of the book It looked old and battered, but Amazon has excellent customer service and they made the switch to me promptly. I appreciate it, that's why the 5 stars are maintained.",Uriel Pérez,"
El problema del dolor
"
5.0 de 5 estrellas,It addresses one of the aspects that most cause doubts about the existence of God ... pain and evil in the world ... when we finish reading it we understand better these aspects of our faith,GUSTAVO FLORES FIGUEROA,"
El problema del dolor
"
5.0 de 5 estrellas,"Great literary work with a unique style by this great writer. We can see and understand broader horizons on a topic that generates controversy, and often also generates disbelief. Essential for those who want to live in the eternal purpose of God knowing and understanding better his plans.",Hermes Contla,"
El problema del dolor
"
5.0 de 5 estrellas,"As for the book physically speaking, it arrived in perfect condition. I still haven't read it in full but the content in general is very good. As for Lewis's literature, all his works are very good",Rulink,"
El problema del dolor
"
5.0 de 5 estrellas,Excellent book,Manolo Gtz,"
El problema del dolor
"
5.0 de 5 estrellas,Excellent,Mag,"
El problema del dolor
"
4.0 de 5 estrellas,"The whole book plunges you into a state of uncertainty, playing with elements that Katzenbach has used in some other books like The Psychoanalyst. I feel that the ending could have been stronger, taking into account the state of anguish and despair suffered by the 3 women throughout the story. However, highly recommended and without losing the Katzenbachian style that you like so much",oscar alejandro morales gutiérrez,"
Un final perfecto
"
3.0 de 5 estrellas,"Katzenbach amazed me with the psychoanalyst and tried to find another book from which to do it again ... I think that's my mistake, after that they all seem poor or simple to me",Montserrat Herrera,"
Un final perfecto
"
4.0 de 5 estrellas,Very good novel only that the ending was very fast in contrast to the development of the plot however it keeps you with the interest in the subject.,Eduardo Jimenez,"
Un final perfecto
"
3.0 de 5 estrellas,It's good to hang out. You really don't get bored reading it. The only thing that would change him would be his obsession with obsessive killers.,Manuel Antonio,"
Un final perfecto
"
5.0 de 5 estrellas,"Excellent book, extremely rich in content, read more than once I recommend, great teachings, infinite thanks.",Irma Aguirre Molina,"
El maestro y las magas
"
5.0 de 5 estrellas,Excellent,eduardo garcia,"
El maestro y las magas
"
5.0 de 5 estrellas,A history full of teachings of the teacher Alejandro. By the time you realize you already have more than half the book. I loved,Oscar Ayala,"
El maestro y las magas
"
5.0 de 5 estrellas,Excellent book a journey through surreal moments in your life,Jose Ernesto Martinez Martinez,"
El maestro y las magas
"
5.0 de 5 estrellas,"I personally loved it, although it has some small details, it arrived very quickly and the material in the book is of excellent quality. The sheets are quite acceptable with a gold edge giving a feeling of an old book. The pages are not saturated with text, It looks comfortable to read but not to transport anywhere.",Arturo Vázquez  Capistrán,"
The Adventures of Sherlock Holmes, and Other Stories
"
5.0 de 5 estrellas,"Excellent compilation of the works of Sir Arthur C.D., the product itself is very beautiful, a bit heavy but not too bulky for all the information it contains, it is an excellent collector's gift.",Jennifer Saviñón de la Cruz,"
The Adventures of Sherlock Holmes, and Other Stories
"
4.0 de 5 estrellas,"The presentation looks very great, the buts that I put are that the image of Sherlock on the front is a sticker and the letter may be somewhat small but it reads well, as an additional, it is not genuine leather, it is not something cause conflict, I just mention it",charliie18,"
The Adventures of Sherlock Holmes, and Other Stories
"
5.0 de 5 estrellas,Without a doubt the book is beautiful! It is my favorite from my collection! Super delivery on time!,Ale Torija,"
The Adventures of Sherlock Holmes, and Other Stories
"
5.0 de 5 estrellas,"The edition is super good, the leather cover and the golden edge of the pages make one think that you have a product of 2000 or more, it is a very good buy.",Ricardo Lopez,"
The Adventures of Sherlock Holmes, and Other Stories
"
3.0 de 5 estrellas,"The shipment arrived in a timely manner, however I give this qualification because the book arrived damaged. It has some scratches on the leaves.",Omar Ramirez Salinas,"
The Adventures of Sherlock Holmes, and Other Stories
"
5.0 de 5 estrellas,"The person you gave it to loved it, plus the price was a bargain. Highly recommended.",DIANA FERNANDEZ,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
3.0 de 5 estrellas,"I thought it would arrive in a box but it arrived in an envelope and the box was a bit battered and I did not know it came with a poster, so all excited I looked for it but it did not come: (But the covers of the books are beautiful 🤩",RicBarreras,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"The price is incredible for the product ($ 400), however it must be taken into account that not only the box, but also the covers are very delicate; I ended up covering the books. And it is worth mentioning that it is a bit difficult to put the books in or out.",Uriel Castillo,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent article Arrives sealed, without mistreating Very good saga.",Mabel,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"I have not read the books yet, but if it is a question of quality, they are in perfect condition. They are not big but, for the price I think they are perfect. The same covers and the box they came in.",David Nava,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"I arrive quickly, the books are very beautiful, the covers are highlighted and the illustrations form the poster, the small poster also comes. All very well. The box is very tight, you have to place them carefully.",Brandon Gomez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
